,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people
time,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
weekday,,,,,,,,,,,,,,,,,,,,,
Mon,48.25,0.5,0.0,20.25,42.75,56.5,53.75,83.25,78.0,106.0,115.75,143.75,168.5,207.75,278.0,398.75,317.75,289.0,293.5,305.5,114.25
Tue,33.25,0.75,0.0,17.5,39.5,54.75,61.0,64.0,59.5,81.75,94.25,94.25,124.5,161.25,229.25,381.5,289.75,236.5,248.5,287.5,74.75
Wed,35.5,0.0,0.0,13.25,40.75,45.0,48.5,52.75,62.75,80.25,84.5,92.5,118.5,154.5,238.5,379.0,291.25,215.5,239.5,276.75,94.5
Thu,38.5,0.25,0.0,16.5,42.5,46.5,54.25,53.5,59.75,68.0,87.5,98.25,126.75,154.25,223.75,378.5,297.75,227.25,269.0,285.0,94.5
Fri,61.6,1.6,0.0,15.2,51.4,64.4,52.8,56.6,68.8,89.0,106.6,116.0,158.2,196.4,299.6,398.0,349.4,311.0,342.2,383.2,134.2
Sat,64.8,0.0,0.0,10.8,37.2,58.8,86.8,100.6,113.8,127.6,147.0,162.8,184.0,221.4,294.4,317.8,262.2,271.6,322.6,348.0,146.2
Sun,64.0,0.75,0.0,13.5,27.25,39.25,76.0,88.75,105.75,125.75,131.25,150.75,203.0,273.5,362.75,395.0,363.75,355.0,359.5,321.5,168.75
